Date,Close,Volumne,Turnover,future,target,pct_Close,pct_Volumne,pct_Turnover
2003-11-14,2172.6,1.7781344E7,353.71,2170.51,1,-0.004736166095626797,0.7341240347186354,0.7372706598038423
2003-11-15,2182.89,4727632.0,92.93,2125.95,1,-0.009927283134758219,-1.7587183181770494,-1.7837082666660975
2003-11-17,2204.56,1.3042205E7,258.69,2088.73,1,0.01544528065606202,-0.05469374235414947,-0.11952523336173257
2003-11-18,2170.51,1.3755532E7,289.61,2091.38,1,0.020529764153707664,-0.09533182722413062,-0.05452163027374251
2003-11-19,2125.95,1.5066872E7,305.4,2107.18,1,0.01750745387143684,0.12493489026786715,0.19977077840910284
2003-11-20,2088.73,1.3184494E7,244.39,2136.87,0,-0.0012686667824604655,-0.43926342565744275,-0.5057081382435429
2003-11-21,2091.38,1.897596E7,367.98,2182.13,0,-0.00755484403286743,0.3617525542844736,0.3479809078958488
2003-11-24,2107.18,1.2111358E7,239.93,2202.46,0,-0.014090009638502288,0.0880982958310703,0.12341093758784313
2003-11-25,2136.87,1.1044368E7,210.32,2214.85,0,-0.02118040083997706,-0.9171146778158786,-0.8869340601523615
2003-11-27,2182.13,2.117332E7,396.86,2251.44,0,-0.009316621473877166,0.07328316957378436,0.1438290295800438
2003-11-28,2202.46,1.9621672E7,339.78,2302.05,0,-0.005625589994142735,0.28913692981923256,0.23153220822404633
2003-12-01,2214.85,1.3948322E7,261.11,2268.73,0,-0.0165202348405968,-0.5528411231114395,-0.6519091983078177
2003-12-02,2251.44,2.1659528E7,431.33,2216.77,1,-0.022478995104912244,0.13891696993581762,0.051770076895695794
2003-12-03,2302.05,1.8650652E7,409.0,2206.71,1,0.014474085120928112,0.20343219100329576,0.247823925064945
2003-12-04,2268.73,1.4856509E7,307.64,2242.43,1,0.022902664215141363,-0.13963354378878645,-0.040794393431915967
2003-12-05,2216.77,1.6930976E7,320.19,2251.79,1,0.004538160704590033,0.32753959370091834,0.378181690292
2003-12-08,2206.71,1.1385411E7,199.1,2306.6,0,-0.016186980317046153,0.015941892655434223,-0.078051194423637
2003-12-09,2242.43,1.1203906E7,214.64,2323.29,0,-0.004174091368387542,-0.22472002174955769,-0.3426201709618504
2003-12-10,2251.79,1.3721648E7,288.18,2324.99,0,-0.024340661270785872,-0.44157800870565983,-0.18332298713492057
2003-12-11,2306.6,1.9780826E7,341.01,2321.27,1,-0.007235732549915674,-0.0034711391728535503,-0.03369399696587215
2003-12-12,2323.29,1.9849488E7,352.5,2303.25,1,-7.316999355624873E-4,0.27705364491013573,0.1769929493572695
